"Year2";"Wall";"TotalArea1";"Address";"long";"lat"
"01.01.1975";"железобетонные";"1412,2";"г. Суровикино, ул. Автострадная, д. 10";42,861371;48,6100385
"01.01.1975";"кирпичные";"1293,3";"г. Суровикино, ул. Автострадная, д. 12";42,8615055;48,6105925
"22.09.1969";"кирпичные";"727,7";"г. Суровикино, ул. Карачунова, д. 17";42,830433;48,606059
"01.09.1975";"кирпичные";"719,6";"г. Суровикино, ул. Ленина, д. 2";42,829939;48,6062435
"20.11.1966";"кирпичные";"635,2";"г. Суровикино, мкр. 1-й, д. 18";42,8541305;48,611998
"22.08.1973";"кирпичные";"686,4";"г. Суровикино, мкр. 1-й, д. 19";42,8548495;48,6119265
"01.09.1978";"кирпичные";"834";"г. Суровикино, ул. Ленина, д. 2Б";42,82825;48,6061785
"01.11.1973";"кирпичные";"677,2";"г. Суровикино, ул. Орджоникидзе, д. 77";42,8627005;48,6095145
"21.08.1970";"кирпичные";"697,8";"г. Суровикино, мкр. 1-й, д. 21";42,8547325;48,6115395
"01.01.1967";"кирпичные";"680";"г. Суровикино, мкр. 1-й, д. 22";42,853969;48,611224
"01.01.1991";"кирпичные";"1328,4";"г. Суровикино, мкр. 1-й, д. 29";42,8594035;48,6133385
"04.04.1995";"кирпичные";"4742,9";"г. Суровикино, мкр. 1-й, д. 31";42,8570145;48,610902
"20.02.1991";"панельные";"984,7";"г. Суровикино, мкр. 1-й, д. 33";42,8594575;48,6125345
"01.11.1994";"панельные";"596,6";"г. Суровикино, мкр. 1-й, д. 38";42,859736;48,613809
"27.02.1991";"панельные";"996,1";"г. Суровикино, мкр. 1-й, д. 39";42,860293;48,613773
"18.06.1988";"кирпичные";"3805";"г. Суровикино, мкр. 2-й, д. 5";42,8455785;48,603235
"10.11.1989";"кирпичные";"1477,5";"г. Суровикино, мкр. 1-й, д. 30";42,8562145;48,6106935
"01.12.1993";"кирпичные";"857";"г. Суровикино, мкр. 1-й, д. 56";42,858793;48,6122245
"11.11.1989";"кирпичные";"851,9";"г. Суровикино, ул. Матросова, д. 85";42,85617;48,6091985
"23.11.1992";"кирпичные";"1447,3";"г. Суровикино, ул. Новая, д. 7";42,8291305;48,611593
"18.02.1988";"кирпичные";"1428,7";"г. Суровикино, ул. Элеваторная, д. 11";42,830415;48,611784
"10.09.1991";"панельные";"586,4";"г. Суровикино, мкр. 1-й, д. 32";42,8595745;48,6129335
"10.09.1991";"панельные";"577,7";"г. Суровикино, мкр. 1-й, д. 34";42,8591525;48,613904
"20.08.1993";"кирпичные";"1403,9";"г. Суровикино, мкр. 1-й, д. 40";42,8602125;48,613255
"01.06.1996";"кирпичные";"854,2";"г. Суровикино, мкр. 1-й, д. 43";42,8589095;48,613011
"01.01.2000";"кирпичные";"1969,5";"г. Суровикино, мкр. 1-й, д. 55";42,8563045;48,6111105
"21.12.1995";"кирпичные";"461,9";"г. Суровикино, пер. Заводской, д. 1а";42,851256;48,6090975
"01.09.1990";"кирпичные";"601";"г. Суровикино, ул. Автострадная, д. 8А";42,860805;48,6083105
"10.10.1991";"кирпичные";"847,2";"г. Суровикино, ул. Новая, д. 5";42,8290495;48,612034
"20.06.1979";"кирпичные";"848";"г. Суровикино, ул. Орджоникидзе, д. 78";42,863033;48,6099015
"03.03.2013";"кирпичные";"5020,2";"г. Суровикино, мкр. 2-й, д. 9";42,8439615;48,602258
"11.06.2013";"кирпичные";"526,7";"г. Суровикино, ул. Железнодорожная, д. 13";42,838482;48,6064705
"11.06.2013";"кирпичные";"449,4";"г. Суровикино, ул. Советская, д. 8";42,8314305;48,6050405
